Variant,Row,Position,Device,Modules,Status
UV_1ROW,1,1,MAIN_SWITCH,2,Planned
UV_1ROW,1,3,RCD_4P,4,Planned
UV_1ROW,1,7,MCB_1P,1,Planned
UV_1ROW,1,8,MCB_1P,1,Planned
UV_1ROW,1,9,MCB_1P,1,Planned
UV_1ROW,1,10,MCB_1P,1,Planned
UV_1ROW,1,11,RESERVE,1,Reserve
UV_1ROW,1,12,RESERVE,1,Reserve
UV_2ROW,1,1,MAIN_SWITCH,2,Planned
UV_2ROW,1,3,RCD_4P,4,Planned
UV_2ROW,1,7,MCB_1P,1,Planned
UV_2ROW,2,1,MCB_1P,1,Planned
UV_2ROW,2,2,MCB_1P,1,Planned
UV_2ROW,2,3,MCB_1P,1,Planned
UV_2ROW,2,4,TERMINALS,4,Planned
UV_2ROW,2,8,RESERVE,2,Reserve
